2,0,Edward Scissorhands
2,1,Ichabod Crane
3,3,The Man
4,3,The Wife
5,3,The Woman From the City
6,3,The Maid
7,3,The Barber
8,4,Faust
9,4,Mephisto
10,0,Kim
11,0,Peg
12,1,Katarina Van Tassel
13,1,Crone
14,2,President James Dale
15,2,First Lady Marsha Dale
16,2,Rude Gambler
18,5,herself
19,6,Captain America
20,6,Iron Man
21,6,FedEx Driver
24,7,Stoffer
25,7,Susanne
26,7,Henrik
27,8,He
28,8,She
33,10,Major Marquis Warren
34,10,John Ruth
35,11,Django
36,11,Calvin Candie
33,11,Stephen
38,11,Dr. King Schultz
37,12,Lt. Aldo Raine
38,12,Col. Hans Landa
33,12,Narrator
39,13,Vernita Green
40,13,Nikki
33,13,Rufus
41,14,Ringo
33,14,Jules Winnfield
32,10,Narrator
32,11,The LeQuint Dickey Mining Co. Employee
32,12,First Scalped Nazi
32,13,Director's Voice
32,14,Jimmie
